LGA_NAME16	Year	NonSchoolQualification	persons
Williams (S)	2016	Certificate III and IV Level	126
Williams (S)	2016	Advanced Diploma and Diploma	61
Williams (S)	2016	Bachelor	74
Williams (S)	2016	Graduate Diploma and Graduate Certificate	17
Williams (S)	2016	Postgraduate	6
Wiluna (S)	2006		495
Wiluna (S)	2006	Certificate nfd	6
Wiluna (S)	2006	Certificate I and II Level	5
Wiluna (S)	2006	Certificate III and IV Level	103
Wiluna (S)	2006	Advanced Diploma and Diploma	23
Wiluna (S)	2006	Bachelor	42
Wiluna (S)	2006	Graduate Diploma and Graduate Certificate	3
Wiluna (S)	2006	Postgraduate	3
Wiluna (S)	2011		712
Wiluna (S)	2011	Certificate nfd	9
Wiluna (S)	2011	Certificate I and II Level	6
Wiluna (S)	2011	Certificate III and IV Level	265
Wiluna (S)	2011	Advanced Diploma and Diploma	53
Wiluna (S)	2011	Bachelor	86
Wiluna (S)	2011	Graduate Diploma and Graduate Certificate	11
Wiluna (S)	2011	Postgraduate	18
Wiluna (S)	2016		488
Wiluna (S)	2016	Certificate nfd	11
Wiluna (S)	2016	Certificate I and II Level	15
Wiluna (S)	2016	Certificate III and IV Level	139
Wiluna (S)	2016	Advanced Diploma and Diploma	24
Wiluna (S)	2016	Bachelor	57
Wiluna (S)	2016	Graduate Diploma and Graduate Certificate	3
Wiluna (S)	2016	Postgraduate	5
Wongan-Ballidu (S)	2006		1048
Wongan-Ballidu (S)	2006	Certificate nfd	19
Wongan-Ballidu (S)	2006	Certificate I and II Level	9
Wongan-Ballidu (S)	2006	Certificate III and IV Level	156
Wongan-Ballidu (S)	2006	Advanced Diploma and Diploma	73
Wongan-Ballidu (S)	2006	Bachelor	63
Wongan-Ballidu (S)	2006	Graduate Diploma and Graduate Certificate	11
Wongan-Ballidu (S)	2006	Postgraduate	6
Wongan-Ballidu (S)	2011		1029
Wongan-Ballidu (S)	2011	Certificate nfd	17
Wongan-Ballidu (S)	2011	Certificate I and II Level	15
Wongan-Ballidu (S)	2011	Certificate III and IV Level	204
Wongan-Ballidu (S)	2011	Advanced Diploma and Diploma	80
Wongan-Ballidu (S)	2011	Bachelor	64
Wongan-Ballidu (S)	2011	Graduate Diploma and Graduate Certificate	22
Wongan-Ballidu (S)	2011	Postgraduate	3
Wongan-Ballidu (S)	2016		922
Wongan-Ballidu (S)	2016	Certificate nfd	18
Wongan-Ballidu (S)	2016	Certificate I and II Level	15
Wongan-Ballidu (S)	2016	Certificate III and IV Level	209
Wongan-Ballidu (S)	2016	Advanced Diploma and Diploma	64
Wongan-Ballidu (S)	2016	Bachelor	76
Wongan-Ballidu (S)	2016	Graduate Diploma and Graduate Certificate	19
Wongan-Ballidu (S)	2016	Postgraduate	8
Woodanilling (S)	2006		310
Woodanilling (S)	2006	Certificate nfd	3
Woodanilling (S)	2006	Certificate I and II Level	7
Woodanilling (S)	2006	Certificate III and IV Level	33
Woodanilling (S)	2006	Advanced Diploma and Diploma	23
Woodanilling (S)	2006	Bachelor	23
Woodanilling (S)	2006	Graduate Diploma and Graduate Certificate	3
Woodanilling (S)	2006	Postgraduate	0
Woodanilling (S)	2011		292
Woodanilling (S)	2011	Certificate nfd	8
Woodanilling (S)	2011	Certificate I and II Level	9
Woodanilling (S)	2011	Certificate III and IV Level	55
Woodanilling (S)	2011	Advanced Diploma and Diploma	24
Woodanilling (S)	2011	Bachelor	25
Woodanilling (S)	2011	Graduate Diploma and Graduate Certificate	4
Woodanilling (S)	2011	Postgraduate	0
Woodanilling (S)	2016		271
Woodanilling (S)	2016	Certificate nfd	7
Woodanilling (S)	2016	Certificate I and II Level	6
Woodanilling (S)	2016	Certificate III and IV Level	53
Woodanilling (S)	2016	Advanced Diploma and Diploma	20
Woodanilling (S)	2016	Bachelor	39
Woodanilling (S)	2016	Graduate Diploma and Graduate Certificate	9
Woodanilling (S)	2016	Postgraduate	4
Wyalkatchem (S)	2006		452
Wyalkatchem (S)	2006	Certificate nfd	9
Wyalkatchem (S)	2006	Certificate I and II Level	7
Wyalkatchem (S)	2006	Certificate III and IV Level	41
Wyalkatchem (S)	2006	Advanced Diploma and Diploma	10
Wyalkatchem (S)	2006	Bachelor	30
Wyalkatchem (S)	2006	Graduate Diploma and Graduate Certificate	7
Wyalkatchem (S)	2006	Postgraduate	6
Wyalkatchem (S)	2011		403
Wyalkatchem (S)	2011	Certificate nfd	9
Wyalkatchem (S)	2011	Certificate I and II Level	4
Wyalkatchem (S)	2011	Certificate III and IV Level	53
Wyalkatchem (S)	2011	Advanced Diploma and Diploma	15
Wyalkatchem (S)	2011	Bachelor	32
Wyalkatchem (S)	2011	Graduate Diploma and Graduate Certificate	3
Wyalkatchem (S)	2011	Postgraduate	4
Wyalkatchem (S)	2016		376
Wyalkatchem (S)	2016	Certificate nfd	10
Wyalkatchem (S)	2016	Certificate I and II Level	7
Wyalkatchem (S)	2016	Certificate III and IV Level	71
Wyalkatchem (S)	2016	Advanced Diploma and Diploma	21
Wyalkatchem (S)	2016	Bachelor	27
Wyalkatchem (S)	2016	Graduate Diploma and Graduate Certificate	4
Wyalkatchem (S)	2016	Postgraduate	0
Wyndham-East Kimberley (S)	2006		5017
Wyndham-East Kimberley (S)	2006	Certificate nfd	73
Wyndham-East Kimberley (S)	2006	Certificate I and II Level	65
Wyndham-East Kimberley (S)	2006	Certificate III and IV Level	689
Wyndham-East Kimberley (S)	2006	Advanced Diploma and Diploma	226
Wyndham-East Kimberley (S)	2006	Bachelor	409
Wyndham-East Kimberley (S)	2006	Graduate Diploma and Graduate Certificate	61
Wyndham-East Kimberley (S)	2006	Postgraduate	54
Wyndham-East Kimberley (S)	2011		5414
Wyndham-East Kimberley (S)	2011	Certificate nfd	80
Wyndham-East Kimberley (S)	2011	Certificate I and II Level	111
Wyndham-East Kimberley (S)	2011	Certificate III and IV Level	970
Wyndham-East Kimberley (S)	2011	Advanced Diploma and Diploma	372
Wyndham-East Kimberley (S)	2011	Bachelor	646
Wyndham-East Kimberley (S)	2011	Graduate Diploma and Graduate Certificate	93
Wyndham-East Kimberley (S)	2011	Postgraduate	114
Wyndham-East Kimberley (S)	2016		4861
Wyndham-East Kimberley (S)	2016	Certificate nfd	108
Wyndham-East Kimberley (S)	2016	Certificate I and II Level	97
Wyndham-East Kimberley (S)	2016	Certificate III and IV Level	927
Wyndham-East Kimberley (S)	2016	Advanced Diploma and Diploma	370
Wyndham-East Kimberley (S)	2016	Bachelor	594
Wyndham-East Kimberley (S)	2016	Graduate Diploma and Graduate Certificate	97
Wyndham-East Kimberley (S)	2016	Postgraduate	94
Yalgoo (S)	2006		182
Yalgoo (S)	2006	Certificate nfd	3
Yalgoo (S)	2006	Certificate I and II Level	4
Yalgoo (S)	2006	Certificate III and IV Level	25
Yalgoo (S)	2006	Advanced Diploma and Diploma	13
Yalgoo (S)	2006	Bachelor	15
Yalgoo (S)	2006	Graduate Diploma and Graduate Certificate	0
Yalgoo (S)	2006	Postgraduate	0
Yalgoo (S)	2011		269
Yalgoo (S)	2011	Certificate nfd	0
Yalgoo (S)	2011	Certificate I and II Level	7
Yalgoo (S)	2011	Certificate III and IV Level	73
Yalgoo (S)	2011	Advanced Diploma and Diploma	23
Yalgoo (S)	2011	Bachelor	24
Yalgoo (S)	2011	Graduate Diploma and Graduate Certificate	3
Yalgoo (S)	2011	Postgraduate	3
Yalgoo (S)	2016		221
Yalgoo (S)	2016	Certificate nfd	7
Yalgoo (S)	2016	Certificate I and II Level	5
Yalgoo (S)	2016	Certificate III and IV Level	48
Yalgoo (S)	2016	Advanced Diploma and Diploma	19
Yalgoo (S)	2016	Bachelor	29
Yalgoo (S)	2016	Graduate Diploma and Graduate Certificate	0
Yalgoo (S)	2016	Postgraduate	8
Yilgarn (S)	2006		1133
Yilgarn (S)	2006	Certificate nfd	13
Yilgarn (S)	2006	Certificate I and II Level	11
Yilgarn (S)	2006	Certificate III and IV Level	143
Yilgarn (S)	2006	Advanced Diploma and Diploma	47
Yilgarn (S)	2006	Bachelor	55
Yilgarn (S)	2006	Graduate Diploma and Graduate Certificate	11
Yilgarn (S)	2006	Postgraduate	0
Yilgarn (S)	2011		1198
Yilgarn (S)	2011	Certificate nfd	11
Yilgarn (S)	2011	Certificate I and II Level	21
Yilgarn (S)	2011	Certificate III and IV Level	261
Yilgarn (S)	2011	Advanced Diploma and Diploma	58
Yilgarn (S)	2011	Bachelor	76
Yilgarn (S)	2011	Graduate Diploma and Graduate Certificate	6
Yilgarn (S)	2011	Postgraduate	6
Yilgarn (S)	2016		888
Yilgarn (S)	2016	Certificate nfd	16
Yilgarn (S)	2016	Certificate I and II Level	14
Yilgarn (S)	2016	Certificate III and IV Level	176
Yilgarn (S)	2016	Advanced Diploma and Diploma	42
Yilgarn (S)	2016	Bachelor	52
Yilgarn (S)	2016	Graduate Diploma and Graduate Certificate	9
Yilgarn (S)	2016	Postgraduate	5
York (S)	2006		2218
York (S)	2006	Certificate nfd	55
York (S)	2006	Certificate I and II Level	40
York (S)	2006	Certificate III and IV Level	356
York (S)	2006	Advanced Diploma and Diploma	181
York (S)	2006	Bachelor	211
York (S)	2006	Graduate Diploma and Graduate Certificate	28
York (S)	2006	Postgraduate	28
York (S)	2011		2345
York (S)	2011	Certificate nfd	56
York (S)	2011	Certificate I and II Level	29
York (S)	2011	Certificate III and IV Level	441
York (S)	2011	Advanced Diploma and Diploma	210
York (S)	2011	Bachelor	236
York (S)	2011	Graduate Diploma and Graduate Certificate	38
York (S)	2011	Postgraduate	40
York (S)	2016		2383
York (S)	2016	Certificate nfd	70
York (S)	2016	Certificate I and II Level	38
York (S)	2016	Certificate III and IV Level	520
York (S)	2016	Advanced Diploma and Diploma	255
York (S)	2016	Bachelor	272
York (S)	2016	Graduate Diploma and Graduate Certificate	34
York (S)	2016	Postgraduate	34
No usual address (WA)	2006	Certificate nfd	83
No usual address (WA)	2006	Certificate I and II Level	82
No usual address (WA)	2006	Certificate III and IV Level	937
No usual address (WA)	2006	Advanced Diploma and Diploma	353
No usual address (WA)	2006	Bachelor	542
No usual address (WA)	2006	Graduate Diploma and Graduate Certificate	49
No usual address (WA)	2006	Postgraduate	90
No usual address (WA)	2011	Certificate nfd	84
No usual address (WA)	2011	Certificate I and II Level	87
No usual address (WA)	2011	Certificate III and IV Level	1221
No usual address (WA)	2011	Advanced Diploma and Diploma	459
No usual address (WA)	2011	Bachelor	753
No usual address (WA)	2011	Graduate Diploma and Graduate Certificate	78
No usual address (WA)	2011	Postgraduate	143
No usual address (WA)	2016	Certificate nfd	114
No usual address (WA)	2016	Certificate I and II Level	65
No usual address (WA)	2016	Certificate III and IV Level	969
No usual address (WA)	2016	Advanced Diploma and Diploma	308
No usual address (WA)	2016	Bachelor	522
No usual address (WA)	2016	Graduate Diploma and Graduate Certificate	48
No usual address (WA)	2016	Postgraduate	117
Migratory - Offshore - Shipping (WA)	2006	Certificate nfd	0
Migratory - Offshore - Shipping (WA)	2006	Certificate I and II Level	4
Migratory - Offshore - Shipping (WA)	2006	Certificate III and IV Level	108
Migratory - Offshore - Shipping (WA)	2006	Advanced Diploma and Diploma	17
Migratory - Offshore - Shipping (WA)	2006	Bachelor	15
Migratory - Offshore - Shipping (WA)	2006	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (WA)	2006	Postgraduate	3
Migratory - Offshore - Shipping (WA)	2011	Certificate nfd	8
Migratory - Offshore - Shipping (WA)	2011	Certificate I and II Level	14
Migratory - Offshore - Shipping (WA)	2011	Certificate III and IV Level	134
Migratory - Offshore - Shipping (WA)	2011	Advanced Diploma and Diploma	28
Migratory - Offshore - Shipping (WA)	2011	Bachelor	20
Migratory - Offshore - Shipping (WA)	2011	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (WA)	2011	Postgraduate	5
Migratory - Offshore - Shipping (WA)	2016	Certificate nfd	13
Migratory - Offshore - Shipping (WA)	2016	Certificate I and II Level	5
Migratory - Offshore - Shipping (WA)	2016	Certificate III and IV Level	134
Migratory - Offshore - Shipping (WA)	2016	Advanced Diploma and Diploma	55
Migratory - Offshore - Shipping (WA)	2016	Bachelor	31
Migratory - Offshore - Shipping (WA)	2016	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (WA)	2016	Postgraduate	9
Break O'Day (M)	2006		4593
Break O'Day (M)	2006	Certificate nfd	72
Break O'Day (M)	2006	Certificate I and II Level	51
Break O'Day (M)	2006	Certificate III and IV Level	771
Break O'Day (M)	2006	Advanced Diploma and Diploma	240
Break O'Day (M)	2006	Bachelor	277
Break O'Day (M)	2006	Graduate Diploma and Graduate Certificate	33
Break O'Day (M)	2006	Postgraduate	31
Break O'Day (M)	2011		4403
Break O'Day (M)	2011	Certificate nfd	56
Break O'Day (M)	2011	Certificate I and II Level	83
Break O'Day (M)	2011	Certificate III and IV Level	936
Break O'Day (M)	2011	Advanced Diploma and Diploma	283
Break O'Day (M)	2011	Bachelor	335
Break O'Day (M)	2011	Graduate Diploma and Graduate Certificate	45
Break O'Day (M)	2011	Postgraduate	52
Break O'Day (M)	2016		4021
Break O'Day (M)	2016	Certificate nfd	118
Break O'Day (M)	2016	Certificate I and II Level	88
Break O'Day (M)	2016	Certificate III and IV Level	1013
Break O'Day (M)	2016	Advanced Diploma and Diploma	333
Break O'Day (M)	2016	Bachelor	406
Break O'Day (M)	2016	Graduate Diploma and Graduate Certificate	53
Break O'Day (M)	2016	Postgraduate	72
Brighton (M)	2006		11614
Brighton (M)	2006	Certificate nfd	138
Brighton (M)	2006	Certificate I and II Level	150
Brighton (M)	2006	Certificate III and IV Level	1553
Brighton (M)	2006	Advanced Diploma and Diploma	314
Brighton (M)	2006	Bachelor	281
Brighton (M)	2006	Graduate Diploma and Graduate Certificate	32
Brighton (M)	2006	Postgraduate	40
Brighton (M)	2011		11842
Brighton (M)	2011	Certificate nfd	143
Brighton (M)	2011	Certificate I and II Level	276
Brighton (M)	2011	Certificate III and IV Level	2170
Brighton (M)	2011	Advanced Diploma and Diploma	516
Brighton (M)	2011	Bachelor	412
Brighton (M)	2011	Graduate Diploma and Graduate Certificate	56
Brighton (M)	2011	Postgraduate	45
Brighton (M)	2016		12059
Brighton (M)	2016	Certificate nfd	293
Brighton (M)	2016	Certificate I and II Level	265
Brighton (M)	2016	Certificate III and IV Level	2490
Brighton (M)	2016	Advanced Diploma and Diploma	693
Brighton (M)	2016	Bachelor	540
Brighton (M)	2016	Graduate Diploma and Graduate Certificate	91
Brighton (M)	2016	Postgraduate	81
Burnie (C)	2006		14373
Burnie (C)	2006	Certificate nfd	247
Burnie (C)	2006	Certificate I and II Level	206
Burnie (C)	2006	Certificate III and IV Level	2382
Burnie (C)	2006	Advanced Diploma and Diploma	750
Burnie (C)	2006	Bachelor	874
Burnie (C)	2006	Graduate Diploma and Graduate Certificate	109
Burnie (C)	2006	Postgraduate	115
Burnie (C)	2011		13642
Burnie (C)	2011	Certificate nfd	227
Burnie (C)	2011	Certificate I and II Level	304
Burnie (C)	2011	Certificate III and IV Level	2904
Burnie (C)	2011	Advanced Diploma and Diploma	878
Burnie (C)	2011	Bachelor	1038
Burnie (C)	2011	Graduate Diploma and Graduate Certificate	146
Burnie (C)	2011	Postgraduate	191
Burnie (C)	2016		12636
Burnie (C)	2016	Certificate nfd	332
Burnie (C)	2016	Certificate I and II Level	334
Burnie (C)	2016	Certificate III and IV Level	3063
Burnie (C)	2016	Advanced Diploma and Diploma	1038
Burnie (C)	2016	Bachelor	1104
Burnie (C)	2016	Graduate Diploma and Graduate Certificate	165
Burnie (C)	2016	Postgraduate	223
Central Coast (M) (Tas.)	2006		15136
Central Coast (M) (Tas.)	2006	Certificate nfd	247
Central Coast (M) (Tas.)	2006	Certificate I and II Level	242
Central Coast (M) (Tas.)	2006	Certificate III and IV Level	2855
Central Coast (M) (Tas.)	2006	Advanced Diploma and Diploma	922
Central Coast (M) (Tas.)	2006	Bachelor	1023
Central Coast (M) (Tas.)	2006	Graduate Diploma and Graduate Certificate	135
Central Coast (M) (Tas.)	2006	Postgraduate	104
Central Coast (M) (Tas.)	2011		14654
Central Coast (M) (Tas.)	2011	Certificate nfd	223
Central Coast (M) (Tas.)	2011	Certificate I and II Level	276
Central Coast (M) (Tas.)	2011	Certificate III and IV Level	3450
Central Coast (M) (Tas.)	2011	Advanced Diploma and Diploma	1083
Central Coast (M) (Tas.)	2011	Bachelor	1304
Central Coast (M) (Tas.)	2011	Graduate Diploma and Graduate Certificate	184
Central Coast (M) (Tas.)	2011	Postgraduate	180
Central Coast (M) (Tas.)	2016		13762
Central Coast (M) (Tas.)	2016	Certificate nfd	389
Central Coast (M) (Tas.)	2016	Certificate I and II Level	304
Central Coast (M) (Tas.)	2016	Certificate III and IV Level	3612
Central Coast (M) (Tas.)	2016	Advanced Diploma and Diploma	1293
Central Coast (M) (Tas.)	2016	Bachelor	1473
Central Coast (M) (Tas.)	2016	Graduate Diploma and Graduate Certificate	234
Central Coast (M) (Tas.)	2016	Postgraduate	295
Central Highlands (M) (Tas.)	2006		1791
Central Highlands (M) (Tas.)	2006	Certificate nfd	25
Central Highlands (M) (Tas.)	2006	Certificate I and II Level	15
Central Highlands (M) (Tas.)	2006	Certificate III and IV Level	221
Central Highlands (M) (Tas.)	2006	Advanced Diploma and Diploma	79
Central Highlands (M) (Tas.)	2006	Bachelor	89
Central Highlands (M) (Tas.)	2006	Graduate Diploma and Graduate Certificate	8
Central Highlands (M) (Tas.)	2006	Postgraduate	16
Central Highlands (M) (Tas.)	2011		1703
Central Highlands (M) (Tas.)	2011	Certificate nfd	19
Central Highlands (M) (Tas.)	2011	Certificate I and II Level	27
Central Highlands (M) (Tas.)	2011	Certificate III and IV Level	263
Central Highlands (M) (Tas.)	2011	Advanced Diploma and Diploma	102
Central Highlands (M) (Tas.)	2011	Bachelor	114
Central Highlands (M) (Tas.)	2011	Graduate Diploma and Graduate Certificate	16
Central Highlands (M) (Tas.)	2011	Postgraduate	17
Central Highlands (M) (Tas.)	2016		1503
Central Highlands (M) (Tas.)	2016	Certificate nfd	37
Central Highlands (M) (Tas.)	2016	Certificate I and II Level	37
Central Highlands (M) (Tas.)	2016	Certificate III and IV Level	289
Central Highlands (M) (Tas.)	2016	Advanced Diploma and Diploma	106
Central Highlands (M) (Tas.)	2016	Bachelor	124
Central Highlands (M) (Tas.)	2016	Graduate Diploma and Graduate Certificate	14
Central Highlands (M) (Tas.)	2016	Postgraduate	31
Circular Head (M)	2006		6312
Circular Head (M)	2006	Certificate nfd	69
Circular Head (M)	2006	Certificate I and II Level	116
Circular Head (M)	2006	Certificate III and IV Level	925
Circular Head (M)	2006	Advanced Diploma and Diploma	231
Circular Head (M)	2006	Bachelor	271
Circular Head (M)	2006	Graduate Diploma and Graduate Certificate	22
Circular Head (M)	2006	Postgraduate	10
Circular Head (M)	2011		6073
Circular Head (M)	2011	Certificate nfd	62
Circular Head (M)	2011	Certificate I and II Level	114
Circular Head (M)	2011	Certificate III and IV Level	1092
Circular Head (M)	2011	Advanced Diploma and Diploma	285
Circular Head (M)	2011	Bachelor	285
Circular Head (M)	2011	Graduate Diploma and Graduate Certificate	36
Circular Head (M)	2011	Postgraduate	31
Circular Head (M)	2016		5752
Circular Head (M)	2016	Certificate nfd	117
Circular Head (M)	2016	Certificate I and II Level	118
Circular Head (M)	2016	Certificate III and IV Level	1211
Circular Head (M)	2016	Advanced Diploma and Diploma	353
Circular Head (M)	2016	Bachelor	296
Circular Head (M)	2016	Graduate Diploma and Graduate Certificate	41
Circular Head (M)	2016	Postgraduate	38
Clarence (C)	2006		34303
Clarence (C)	2006	Certificate nfd	661
Clarence (C)	2006	Certificate I and II Level	460
Clarence (C)	2006	Certificate III and IV Level	6114
Clarence (C)	2006	Advanced Diploma and Diploma	2848
Clarence (C)	2006	Bachelor	4022
Clarence (C)	2006	Graduate Diploma and Graduate Certificate	558
Clarence (C)	2006	Postgraduate	672
Clarence (C)	2011		33357
Clarence (C)	2011	Certificate nfd	626
Clarence (C)	2011	Certificate I and II Level	593
Clarence (C)	2011	Certificate III and IV Level	7117
Clarence (C)	2011	Advanced Diploma and Diploma	3275
Clarence (C)	2011	Bachelor	5109
Clarence (C)	2011	Graduate Diploma and Graduate Certificate	754
Clarence (C)	2011	Postgraduate	1021
Clarence (C)	2016		32797
Clarence (C)	2016	Certificate nfd	998
Clarence (C)	2016	Certificate I and II Level	588
Clarence (C)	2016	Certificate III and IV Level	8033
Clarence (C)	2016	Advanced Diploma and Diploma	3961
Clarence (C)	2016	Bachelor	5882
Clarence (C)	2016	Graduate Diploma and Graduate Certificate	1062
Clarence (C)	2016	Postgraduate	1498
